"","value"
"10455","fetched it down, and unstopped the best rat-hole, and in about an hour"
"10456","we had fifteen of the bulliest kind of ones; and then we took it and"
"10457","put it in a safe place under Aunt Sally’s bed. But while we was gone"
"10458","for spiders little Thomas Franklin Benjamin Jefferson Elexander Phelps"
"10459","found it there, and opened the door of it to see if the rats would come"
"10460","out, and they did; and Aunt Sally she come in, and when we got back she"
"10461","was a-standing on top of the bed raising Cain, and the rats was doing"
"10462","what they could to keep off the dull times for her. So she took and"
"10463","dusted us both with the hickry, and we was as much as two hours"
"10464","catching another fifteen or sixteen, drat that meddlesome cub, and they"
"10465","warn’t the likeliest, nuther, because the first haul was the pick of"
"10466","the flock. I never see a likelier lot of rats than what that first haul"
"10467","was."
"10468",""
"10469","We got a splendid stock of sorted spiders, and bugs, and frogs, and"
"10470","caterpillars, and one thing or another; and we like to got a hornet’s"
"10471","nest, but we didn’t. The family was at home. We didn’t give it right"
"10472","up, but stayed with them as long as we could; because we allowed we’d"
"10473","tire them out or they’d got to tire us out, and they done it. Then we"
"10474","got allycumpain and rubbed on the places, and was pretty near all right"
"10475","again, but couldn’t set down convenient. And so we went for the snakes,"
"10476","and grabbed a couple of dozen garters and house-snakes, and put them in"
"10477","a bag, and put it in our room, and by that time it was supper-time, and"
"10478","a rattling good honest day’s work: and hungry?—oh, no, I reckon not!"
"10479","And there warn’t a blessed snake up there when we went back—we didn’t"
"10480","half tie the sack, and they worked out somehow, and left. But it didn’t"
"10481","matter much, because they was still on the premises somewheres. So we"
"10482","judged we could get some of them again. No, there warn’t no real"
"10483","scarcity of snakes about the house for a considerable spell. You’d see"
"10484","them dripping from the rafters and places every now and then; and they"
"10485","generly landed in your plate, or down the back of your neck, and most"
"10486","of the time where you didn’t want them. Well, they was handsome and"
"10487","striped, and there warn’t no harm in a million of them; but that never"
"10488","made no difference to Aunt Sally; she despised snakes, be the breed"
"10489","what they might, and she couldn’t stand them no way you could fix it;"
"10490","and every time one of them flopped down on her, it didn’t make no"
"10491","difference what she was doing, she would just lay that work down and"
"10492","light out. I never see such a woman. And you could hear her whoop to"
"10493","Jericho. You couldn’t get her to take a-holt of one of them with the"
"10494","tongs. And if she turned over and found one in bed she would scramble"
"10495","out and lift a howl that you would think the house was afire. She"
"10496","disturbed the old man so that he said he could most wish there hadn’t"
"10497","ever been no snakes created. Why, after every last snake had been gone"
"10498","clear out of the house for as much as a week Aunt Sally warn’t over it"
"10499","yet; she warn’t near over it; when she was setting thinking about"
"10500","something you could touch her on the back of her neck with a feather"
"10501","and she would jump right out of her stockings. It was very curious. But"
"10502","Tom said all women was just so. He said they was made that way for some"
"10503","reason or other."
"10504",""
"10505","We got a licking every time one of our snakes come in her way, and she"
"10506","allowed these lickings warn’t nothing to what she would do if we ever"
"10507","loaded up the place again with them. I didn’t mind the lickings,"
"10508","because they didn’t amount to nothing; but I minded the trouble we had"
"10509","to lay in another lot. But we got them laid in, and all the other"
"10510","things; and you never see a cabin as blithesome as Jim’s was when"
"10511","they’d all swarm out for music and go for him. Jim didn’t like the"
"10512","spiders, and the spiders didn’t like Jim; and so they’d lay for him,"
"10513","and make it mighty warm for him. And he said that between the rats and"
"10514","the snakes and the grindstone there warn’t no room in bed for him,"
"10515","skasely; and when there was, a body couldn’t sleep, it was so lively,"
"10516","and it was always lively, he said, because _they_ never all slept at"
"10517","one time, but took turn about, so when the snakes was asleep the rats"
"10518","was on deck, and when the rats turned in the snakes come on watch, so"
"10519","he always had one gang under him, in his way, and t’other gang having a"
"10520","circus over him, and if he got up to hunt a new place the spiders would"
"10521","take a chance at him as he crossed over. He said if he ever got out"
"10522","this time he wouldn’t ever be a prisoner again, not for a salary."
"10523",""
"10524","Well, by the end of three weeks everything was in pretty good shape."
"10525","The shirt was sent in early, in a pie, and every time a rat bit Jim he"
"10526","would get up and write a little in his journal whilst the ink was"
"10527","fresh; the pens was made, the inscriptions and so on was all carved on"
"10528","the grindstone; the bed-leg was sawed in two, and we had et up the"
"10529","sawdust, and it give us a most amazing stomach-ache. We reckoned we was"
"10530","all going to die, but didn’t. It was the most undigestible sawdust I"
"10531","ever see; and Tom said the same."
"10532",""
"10533","But as I was saying, we’d got all the work done now, at last; and we"
"10534","was all pretty much fagged out, too, but mainly Jim. The old man had"
"10535","wrote a couple of times to the plantation below Orleans to come and get"
"10536","their runaway nigger, but hadn’t got no answer, because there warn’t no"
"10537","such plantation; so he allowed he would advertise Jim in the St. Louis"
"10538","and New Orleans papers; and when he mentioned the St. Louis ones it"
"10539","give me the cold shivers, and I see we hadn’t no time to lose. So Tom"
"10540","said, now for the nonnamous letters."
"10541",""
"10542","“What’s them?” I says."
"10543",""
"10544","“Warnings to the people that something is up. Sometimes it’s done one"
"10545","way, sometimes another. But there’s always somebody spying around that"
"10546","gives notice to the governor of the castle. When Louis XVI. was going"
"10547","to light out of the Tooleries, a servant-girl done it. It’s a very good"
"10548","way, and so is the nonnamous letters. We’ll use them both. And it’s"
"10549","usual for the prisoner’s mother to change clothes with him, and she"
"10550","stays in, and he slides out in her clothes. We’ll do that, too.”"
"10551",""
"10552","“But looky here, Tom, what do we want to _warn_ anybody for that"
"10553","something’s up? Let them find it out for themselves—it’s their"
"10554","lookout.”"
"10555",""
"10556","“Yes, I know; but you can’t depend on them. It’s the way they’ve acted"
"10557","from the very start—left us to do _everything_. They’re so confiding"
"10558","and mullet-headed they don’t take notice of nothing at all. So if we"
"10559","don’t _give_ them notice there won’t be nobody nor nothing to interfere"
"10560","with us, and so after all our hard work and trouble this escape ’ll go"
"10561","off perfectly flat; won’t amount to nothing—won’t be nothing _to_ it.”"
"10562",""
"10563","“Well, as for me, Tom, that’s the way I’d like.”"
"10564",""
"10565","“Shucks!” he says, and looked disgusted. So I says:"
"10566",""
"10567","“But I ain’t going to make no complaint. Any way that suits you suits"
"10568","me. What you going to do about the servant-girl?”"
"10569",""
"10570","“You’ll be her. You slide in, in the middle of the night, and hook that"
"10571","yaller girl’s frock.”"
"10572",""
"10573","“Why, Tom, that ’ll make trouble next morning; because, of course, she"
"10574","prob’bly hain’t got any but that one.”"
"10575",""
"10576","“I know; but you don’t want it but fifteen minutes, to carry the"
"10577","nonnamous letter and shove it under the front door.”"
"10578",""
"10579","“All right, then, I’ll do it; but I could carry it just as handy in my"
"10580","own togs.”"
"10581",""
"10582","“You wouldn’t look like a servant-girl _then_, would you?”"
"10583",""
"10584","“No, but there won’t be nobody to see what I look like, _anyway_.”"
"10585",""
"10586","“That ain’t got nothing to do with it. The thing for us to do is just"
"10587","to do our _duty_, and not worry about whether anybody _sees_ us do it"
"10588","or not. Hain’t you got no principle at all?”"
"10589",""
"10590","“All right, I ain’t saying nothing; I’m the servant-girl. Who’s Jim’s"
"10591","mother?”"
"10592",""
"10593","“I’m his mother. I’ll hook a gown from Aunt Sally.”"
"10594",""
"10595","“Well, then, you’ll have to stay in the cabin when me and Jim leaves.”"
"10596",""
"10597","“Not much. I’ll stuff Jim’s clothes full of straw and lay it on his bed"
"10598","to represent his mother in disguise, and Jim ’ll take the nigger"
"10599","woman’s gown off of me and wear it, and we’ll all evade together. When"
"10600","a prisoner of style escapes it’s called an evasion. It’s always called"
"10601","so when a king escapes, f’rinstance. And the same with a king’s son; it"
"10602","don’t make no difference whether he’s a natural one or an unnatural"
"10603","one.”"
